Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Credit Score Alpha,Executive Gender,Executive Title,Fax Number Combined,IUSA Number,Location Employee Size Range,Location Sales Volume Range,Phone Number Combined,Primary SIC Code,Primary SIC Description,SIC Code 1,SIC Code 1 Description,Record Type
235 Media Group,Bill,Hennessey,235 Minot St # 3,Dorchester,MA,2124,A,Male,Owner,,71-113-8265,5 to 9,$1-2.5 Million,(617) 637-0515,737311,Website Design Service,737311,Website Design Service,Closed/Out of Business
42nd Estate LLC,Adam,Pieniazek,47 Roseclair St,Dorchester,MA,2125,B+,Male,Owner,,40-046-5272,1 to 4,"Less Than $500,000",(617) 288-4185,653118,Real Estate,653118,Real Estate,Closed/Out of Business
732 Numbers LLC,,,175 Adams St,Dorchester,MA,2122,B+,,,,70-639-7248,20 to 49,$20-50 Million,(617) 825-5263,481304,Telephone Companies,481304,Telephone Companies,Closed/Out of Business
97 Circuit,,,97 Circuit St,Roxbury,MA,2119,A,,,,42-512-6286,5 to 9,"$500,000-1 Million",(617) 427-9797,653118,Real Estate,653118,Real Estate,Closed/Out of Business
A & A House Keeping & Catering,,,42 Fox St,Dorchester,MA,2122,C+,,,,42-778-2839,1 to 4,"Less Than $500,000",(617) 326-6487,734922,House Cleaning,734922,House Cleaning,Closed/Out of Business
A & G Systems,Jorge,Gomes,10 Annabel St,Dorchester,MA,2125,C,Male,Owner,,40-004-9366,1 to 4,"Less Than $500,000",(617) 265-9133,734902,Janitor Service,734902,Janitor Service,Closed/Out of Business
A & J Fields Promotions,Jerry,Fields,11 Richmere Rd,Mattapan,MA,2126,C+,Male,Owner,,10-731-2456,1 to 4,"Less Than $500,000",(617) 296-1030,792905,Entertainment Bureaus,792905,Entertainment Bureaus,Closed/Out of Business
A Plus Cellular,,,7 Washington St,Dorchester,MA,2121,C+,,,,40-280-4000,1 to 4,$2.5-5 Million,(617) 516-8130,481207,Cellular Telephones (Services),481207,Cellular Telephones (Services),Closed/Out of Business
AAA Birthday Magicians Svc,Jerry,Fields,11 Richmere Rd,Mattapan,MA,2126,C+,Male,Owner,,21-914-6347,1 to 4,"Less Than $500,000",(617) 296-1030,792917,Entertainers-Children & Family,792917,Entertainers-Children & Family,Closed/Out of Business
Aaron's Hardwood Floor,,,359 Geneva Ave # 3,Dorchester,MA,2122,C+,,,,41-342-2968,1 to 4,"Less Than $500,000",(617) 590-8146,175203,Floor Laying Refinishing & Resurfacing,175203,Floor Laying Refinishing & Resurfacing,Closed/Out of Business
ABC Auto Glass Repair,Matthew,Perez,1121 Dorchester Ave,Dorchester,MA,2125,B+,Male,Manager,,70-342-7168,1 to 4,"$500,000-1 Million",(617) 553-4664,753602,Automobile Glass-Service & Installation,753602,Automobile Glass-Service & Installation,Closed/Out of Business
ADCI International,Dennis,Sullivan,4 Eagle Sq,East Boston,MA,2128,A,Male,Vice President,,10-732-0699,10 to 19,$20-50 Million,(617) 567-0429,509905,Importers (Whls),509905,Importers (Whls),Closed/Out of Business
ADT Home Security,Bart,Long,13 Winter St,Dorchester,MA,2122,B+,Male,Manager,,40-368-6584,1 to 4,"$500,000-1 Million",(857) 239-5195,738202,Security Systems,738202,Security Systems,Closed/Out of Business
Advanced Physical Therapy Ctr,Reuven,Zaslavski,1651 Blue Hill Ave # 2,Mattapan,MA,2126,A,Male,Manager,,39-255-6437,1 to 4,"Less Than $500,000",(617) 296-3951,804918,Physical Therapists,804918,Physical Therapists,Closed/Out of Business
Aeronatutics Commission,Robert,Welch,1 Harborside Dr # 205n,East Boston,MA,2128,I,Male,Exec Director,6179738889,47-513-7717,10 to 19,,(617) 973-8881,912102,Government Offices-State,912102,Government Offices-State,Closed/Out of Business
After Dark,,,317 Geneva Ave,Dorchester,MA,2122,B+,,,,40-386-6412,1 to 4,"$500,000-1 Million",(617) 379-3592,563210,Lingerie,563210,Lingerie,Closed/Out of Business
"Ahern, Mike",Mike,Ahern,,Dorchester,MA,2125,C+,Male,,,40-193-3868,1 to 4,$1-2.5 Million,(617) 929-1878,152117,Kitchen Remodeling & Planning Svc,152117,Kitchen Remodeling & Planning Svc,Closed/Out of Business
"Ahn, Sam Dmd",Sam,Ahn,653 Columbia Rd,Dorchester,MA,2125,B+,Male,,,71-907-1661,1 to 4,"$500,000-1 Million",(617) 825-9100,802101,Dentists,802101,Dentists,Closed/Out of Business
Air General Inc,Paul,Nichols,122 Harborside Dr # 4,East Boston,MA,2128,A,Male,Manager,,46-560-1342,20 to 49,$20-50 Million,(617) 567-2760,451202,Air Cargo Service,451202,Air Cargo Service,Closed/Out of Business
Air Tran Airways,,,161 Prescott St,East Boston,MA,2128,A,,,,24-457-6476,20 to 49,$10-20 Million,(617) 567-7844,451201,Airline Companies,451201,Airline Companies,Closed/Out of Business
Air Tran Airways,James,Elam,300 Terminal C # 6,East Boston,MA,2128,B+,Male,Principal,,39-257-9538,20 to 49,$10-20 Million,(617) 561-8244,451201,Airline Companies,451201,Airline Companies,Closed/Out of Business
Airtran Airways,,,18 Logan Airport,East Boston,MA,2128,B+,,,,43-833-3206,20 to 49,$10-20 Million,(617) 561-8244,451201,Airline Companies,451201,Airline Companies,Closed/Out of Business
Airtran Airways,,,400 Terminal D,East Boston,MA,2128,U,,,,36-023-4785,,,(617) 561-7100,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Alama's African Hair Braiding,,,195 Dudley St,Roxbury,MA,2119,B+,,,,64-365-7117,1 to 4,"Less Than $500,000",(617) 427-0002,723106,Beauty Salons,723106,Beauty Salons,Closed/Out of Business
Alianza Beauty Salon,,,163 Blue Hill Ave,Roxbury,MA,2119,B,,,,72-037-1999,1 to 4,"Less Than $500,000",(617) 238-5058,723106,Beauty Salons,723106,Beauty Salons,Closed/Out of Business
Alix Foods Inc,Alix,Monestime,137 School St,Roxbury,MA,2119,A,Female,President,,40-773-1833,5 to 9,"$500,000-1 Million",(617) 319-5295,581208,Restaurants,581208,Restaurants,Closed/Out of Business
All Assets Insurance Agency,,,6 Woodale Ave,Mattapan,MA,2126,A,,,,40-193-3762,1 to 4,"$500,000-1 Million",(617) 296-6340,641112,Insurance,641112,Insurance,Closed/Out of Business
All Season Fashions,,,742 Dudley St,Dorchester,MA,2125,C+,,,,67-727-9481,1 to 4,"Less Than $500,000",(617) 379-2427,562101,Women's Apparel-Retail,562101,Women's Apparel-Retail,Closed/Out of Business
All Star Barber Shop,Jose,Castillo,1726 Dorchester Ave,Dorchester,MA,2124,B,Male,Owner,,71-825-3291,1 to 4,"Less Than $500,000",(617) 297-5390,724101,Barbers,724101,Barbers,Closed/Out of Business
Alliance For Animals,Donna,Bishop,39 Lawley St,Dorchester,MA,2122,A+,Female,President,,94-953-8813,5 to 9,"Less Than $500,000",(617) 268-7800,75203,Animal Shelters,75203,Animal Shelters,Closed/Out of Business
Allied Wrecking,,,53 Breed St # 401,East Boston,MA,2128,B+,,,,71-207-0466,5 to 9,$2.5-5 Million,(617) 594-7038,495326,Junk Removal,495326,Junk Removal,Closed/Out of Business
