,PID,LU,MAIL_ADDRESS,MAIL CS
0,100056000,C,254-256  BENNINGTON  ST,EAST  BOSTON     MA
1,100061000,RC,399 SARATOGA ST,EAST BOSTON MA
2,100077000,RC,143 BORDER ST,E BOSTON MA
3,100079000,C,4 SEASONS PL #1101,BOSTON MA
4,100080000,RC,38 TURNING MILL LA,QUINCY MA
5,100081000,RC,382 CHELSEA ST,E BOSTON MA
6,100082000,RC,42 FAIRVIEW TER,MALDEN MA
7,100083000,RC,378A CHELSEA ST,EAST BOSTON MA
8,100084000,RC,100 DALE ST,REVERE MA
9,100085000,C,36 RUMNEY RD,REVERE MA
10,100086000,C,117 BOYLSTON ST,MALDEN MA
11,100087000,C,282 BENNINGTON ST,EAST BOSTON MA
12,100088000,RC,292 BENNINGTON ST,EAST BOSTON MA
13,100089000,RC,290 BENNINGTON ST,E BOSTON MA
14,100090000,C,206 BURGESS AV,WESTWOOD MA
15,100091000,C,282 BENNINGTON,EAST BOSTON MA
16,100092000,C,282 BENNINGTON ST,EAST BOSTON MA
17,100093000,RC,282 BENNINGTON ST,EAST BOSTON MA
18,100094000,C,282 BENNINGTON ST,EAST BOSTON MA
19,100095000,RC,258 BENNINGTON ST,EAST BOSTON MA
20,100096000,RC,101 TREMONT ST SUITE 800J,BOSTON MA
21,100098000,RC,2 CARLSON CI,WEST ROXBURY MA
22,100120001,C,13 PINEWOOD RD,W PEABODY MA
23,100121000,C,13 PINEWOOD RD,W PEABODY MA
24,100122000,RC,17 WYMON WAY,LYNNFIELD MA
25,100733000,RC,710 SARATOGA ST,EAST BOSTON MA
26,100282000,RC,41 WABAN ST,SAUGUS MA
27,100283000,C,8331 BEACON ST #205,NEWTON MA
28,100290000,C,370 EAST EAGLE ST,EAST BOSTON MA
29,100291000,C,370 EAST EAGLE ST,EAST BOSTON MA
30,100292000,C,370 EAST EAGLE ST,EAST BOSTON MA
31,100293000,RC,370 EAST EAGLE ST,EAST BOSTON MA
32,100298000,RC,76 SHERWOOD DR,METHUEN MA
33,100303000,RC,21 TOWN WAY,WINCHESTER MA
34,100303001,RC,474 SARATOGA ST,EAST BOSTON MA
35,100306000,C,831 BEACON ST #205,NEWTON MA
36,100315000,C,84 JUNIPER DR,SAUGUS MA
37,100316000,C,347A CHELSEA,EAST BOSTON MA
38,100317000,RC,282 BENNINGTON ST,EAST BOSTON MA
39,100318000,RC,353 CHELSEA ST,EAST BOSTON MA
