Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Executive Gender,Executive Ethnicity,County,Neighborhood,SIC Code 1,SIC Code 1 Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Employee Size Actual,Location Sales Volume Range,Location Sales Volume Actual,Type of Business,Location Type,Square Footage,Credit Score Alpha,Credit Score Numeric ,Rent Expenses,Latitude,Longitude,Record Type
1 Hommagen Boiler,,,1 Hommagen Ct,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507420,Boilers-New & Used (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,"2,500 - 4,999",B,83,"$10,000 to $25,000",42.325477,-71.087721,Verified
1-A Carniceria Y Legumbreria,,,9 Meridian St,East Boston,MA,2128,,Uncoded,Suffolk,Central Maverick Square-Paris Street,542107,Meat-Retail,445210,Meat Markets,1 to 4,4,$1-2.5 Million,"$1,000,000",Private,Single Loc,"1,500 - 2,499",B,80,"$10,000 to $25,000",42.370491,-71.038779,Verified
100 Decibles,Brandon,German,37 Regent St,Roxbury,MA,2119,Male,Western Europe,Suffolk,,738947,Recording Studios,512240,Sound Recording Studios,1 to 4,2,"Less Than $500,000","$288,000",Private,Single Loc,"1,500 - 2,499",C,70,"Less than $10,000",42.325189,-71.085015,Verified
104 Meridian Street Realty,,,104 Meridian St,East Boston,MA,2128,,Uncoded,Suffolk,Central Maverick Square-Paris Street,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,"5,000 - 9,999",A,90,"$25,000 to $50,000",42.37285,-71.039332,Verified
108 Regent Boiler,,,108 Regent St,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,171102,Heating Contractors,238220,Plumbing Htg & Air-Conditioning Contractors,5 to 9,7,$1-2.5 Million,"$1,501,000",Private,Single Loc,"1,500 - 2,499",B+,85,"Less than $10,000",42.322887,-71.087751,Verified
1448 Avenue LLC,,,1448 Dorchester Ave,Dorchester,MA,2122,,Uncoded,Suffolk,Fields Corner East,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,"5,000 - 9,999",A,91,"$10,000 to $25,000",42.301191,-71.059741,Verified
150 Freeport Trust,Peter,Junkovic,150 Freeport St,Dorchester,MA,2122,Male,Eastern European,Suffolk,Columbia Point,754901,Wrecker Service,488410,Motor Vehicle Towing,5 to 9,6,"$500,000-1 Million","$813,000",Private,Single Loc,"2,500 - 4,999",B+,85,"$25,000 to $50,000",42.305787,-71.055555,Verified
16 Crispus Boiler,,,16 Crispus Attucks Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507420,Boilers-New & Used (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,"2,500 - 4,999",B,83,"$10,000 to $25,000",42.324847,-71.087881,Verified
17-19 Winter St Properties,,,17 Winter St,Dorchester,MA,2122,,Uncoded,Suffolk,Uphams Corner-Jones Hill,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,"2,500 - 4,999",A+,95,"$10,000 to $25,000",42.309476,-71.062841,Verified
18 Crispus Boiler,,,18 Crispus Attucks Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507412,Boilers-Supplies & Parts (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,"2,500 - 4,999",B+,85,"$10,000 to $25,000",42.324787,-71.087711,Verified
