,index,Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Executive Gender,Executive Ethnicity,County,Neighborhood,SIC Code 1,SIC Code 1 Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Employee Size Actual,Location Sales Volume Range,Location Sales Volume Actual,Type of Business,Location Type,Square Footage,Credit Score Alpha,Credit Score Numeric ,Rent Expenses,Latitude,Longitude,Record Type,Rent per Square Foot
0,0,1 Hommagen Boiler,,,1 Hommagen Ct,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507420,Boilers-New & Used (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,3749.5,B,83,17500.0,42.325477,-71.087721,Verified,4.67
1,1,1-A Carniceria Y Legumbreria,,,9 Meridian St,East Boston,MA,2128,,Uncoded,Suffolk,Central Maverick Square-Paris Street,542107,Meat-Retail,445210,Meat Markets,1 to 4,4,$1-2.5 Million,"$1,000,000",Private,Single Loc,1999.5,B,80,17500.0,42.370490999999994,-71.038779,Verified,8.75
2,2,100 Decibles,Brandon,German,37 Regent St,Roxbury,MA,2119,Male,Western Europe,Suffolk,,738947,Recording Studios,512240,Sound Recording Studios,1 to 4,2,"Less Than $500,000","$288,000",Private,Single Loc,1999.5,C,70,5000.0,42.325189,-71.085015,Verified,2.5
3,3,104 Meridian Street Realty,,,104 Meridian St,East Boston,MA,2128,,Uncoded,Suffolk,Central Maverick Square-Paris Street,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,7499.5,A,90,37500.0,42.37285,-71.039332,Verified,5.0
4,4,108 Regent Boiler,,,108 Regent St,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,171102,Heating Contractors,238220,Plumbing Htg & Air-Conditioning Contractors,5 to 9,7,$1-2.5 Million,"$1,501,000",Private,Single Loc,1999.5,B+,85,5000.0,42.322887,-71.087751,Verified,2.5
5,5,1448 Avenue LLC,,,1448 Dorchester Ave,Dorchester,MA,2122,,Uncoded,Suffolk,Fields Corner East,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,7499.5,A,91,17500.0,42.301190999999996,-71.059741,Verified,2.33
6,6,150 Freeport Trust,Peter,Junkovic,150 Freeport St,Dorchester,MA,2122,Male,Eastern European,Suffolk,Columbia Point,754901,Wrecker Service,488410,Motor Vehicle Towing,5 to 9,6,"$500,000-1 Million","$813,000",Private,Single Loc,3749.5,B+,85,37500.0,42.305787,-71.055555,Verified,10.0
7,7,16 Crispus Boiler,,,16 Crispus Attucks Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507420,Boilers-New & Used (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,3749.5,B,83,17500.0,42.324847,-71.08788100000001,Verified,4.67
8,8,17-19 Winter St Properties,,,17 Winter St,Dorchester,MA,2122,,Uncoded,Suffolk,Uphams Corner-Jones Hill,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,3749.5,A+,95,17500.0,42.309476000000004,-71.062841,Verified,4.67
9,9,18 Crispus Boiler,,,18 Crispus Attucks Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507412,Boilers-Supplies & Parts (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,3749.5,B+,85,17500.0,42.324787,-71.087711,Verified,4.67
10,10,19 Fort Avenue Air Bnb,Kevin,Galie,19 Fort Ave,Roxbury,MA,2119,Male,Western Europe,Suffolk,Highland Park,651301,Condominiums,531110,Lessors Of Residential Buildings & Dwellings,5 to 9,6,$5-10 Million,"$5,543,000",Private,Single Loc,14999.5,C+,75,75000.0,42.325611,-71.094034,Verified,5.0
11,11,19 Obierne Boiler,,,19 Obierne Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507420,Boilers-New & Used (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,3749.5,B,83,17500.0,42.322957,-71.088541,Verified,4.67
12,12,1st Armor Protection Svc,Aisha,Yasin,1444 Dorchester Ave,Dorchester,MA,2122,Female,Middle Eastern,Suffolk,Fields Corner East,899999,Services NEC,541990,"All Other Professional, Scientific/Technical Svcs",1 to 4,3,"Less Than $500,000","$435,000",Private,Single Loc,3749.5,C+,76,75000.0,42.301725,-71.05919,Verified,20.0
13,13,2 Obierne Boiler,,,2 Obierne Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507420,Boilers-New & Used (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,3749.5,B,83,17500.0,42.323402,-71.089145,Verified,4.67
14,14,21 Fenwick Boiler,,,21 Fenwick Pl,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,507420,Boilers-New & Used (Whls),423620,"Household Appls, Elctrc Hswrs/Cnsmr Elctro Whlsrs",1 to 4,4,$5-10 Million,"$7,277,000",Private,Single Loc,3749.5,B,83,17500.0,42.325247,-71.08738100000001,Verified,4.67
15,15,224 Boston Street Restaurant,Kevin L,Tyo,224 Boston St,Dorchester,MA,2125,Male,Western Europe,Suffolk,,581208,Restaurants,722511,Full-Service Restaurants,5 to 9,8,"$500,000-1 Million","$598,000",Private,Single Loc,3749.5,A,93,37500.0,42.322251,-71.06084200000001,Verified,10.0
16,16,225 Centre,,,225 Centre St,Roxbury,MA,2119,,Uncoded,Suffolk,Egleston Square,651303,Apartments,531110,Lessors Of Residential Buildings & Dwellings,5 to 9,5,$2.5-5 Million,"$4,619,000",Private,Single Loc,29999.5,B+,86,175000.0,42.322866999999995,-71.09890899999999,Verified,5.83
